21;Going;Back;To;New;Orleans.mp3,165.2,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\21;Going;Back;To;New;Orleans.mp3,3.59,2012-04-14T07:27:30.656250;;;;;;;;;;;;;;;;;;;;;;;;;;
21;On;The;Sunny;Side;Of;The;Street;1.mp3,153.89,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\21;On;The;Sunny;Side;Of;The;Street;1.mp3,4.05,2012-04-14T07:34:05.343750;;;;;;;;;;;;;;;;;;;;
21;Skokiaan.mp3,153.65,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\21;Skokiaan.mp3,3.95,2012-04-14T07:44:55.937500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Take;The;A;Train.mp3,76.34,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\21;Take;The;A;Train.mp3,2.18,2012-04-14T07:43:48.703125;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;The;Entertainer.mp3,186.55,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\21;The;Entertainer.mp3,3.99,2012-04-14T07:36:03.796875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Dulgo;Horo.mp3,393.17,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\22;Dulgo;Horo.mp3,9.44,2012-04-14T07:50:29.515625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;If;Ever;I;Cease;to;Love.mp3,165.96,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\22;If;Ever;I;Cease;to;Love.mp3,4.24,2012-04-14T07:32:10.843750;;;;;;;;;;;;;;;;;;;;;;;;
22;Indian;Chief.mp3,150.22,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\22;Indian;Chief.mp3,3.88,2012-04-14T07:18:18.656250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Jambalaya.mp3,46.13,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\22;Jambalaya.mp3,1.49,2012-04-14T07:24:13.453125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Swamp;Buggy;Badass;1.mp3,266.92,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\22;Swamp;Buggy;Badass;1.mp3,8.58,2012-04-14T07:52:02.953125;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Down;By;the;Riverside.mp3,353.49,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\23;Down;By;the;Riverside.mp3,8.53,2012-04-14T07:53:23.437500;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Hey;Pocky;A-Way.mp3,239.42,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\23;Hey;Pocky;A-Way.mp3,5.92,2012-04-14T07:50:17.718750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Iko;Iko.mp3,57.98,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\23;Iko;Iko.mp3,1.76,2012-04-14T07:38:35.359375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Stooges;Party.mp3,422.94,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\23;Stooges;Party.mp3,10.12,2012-04-14T07:49:08.234375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Swing;This!.mp3,118.42,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\23;Swing;This!.mp3,3.15,2012-04-14T07:16:51.546875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Do;You;Know;What;It;Means;To;Miss.mp3,43.7,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\24;Do;You;Know;What;It;Means;To;Miss.mp3,1.44,2012-04-14T07:27:47.875000;;;;;;;;;;;;;;;;;;;;
24;Is;You;Is;Or;Is;You;Ain't;My;Baby;1.mp3,98.76,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\24;Is;You;Is;Or;Is;You;Ain't;My;Baby;1.mp3,2.7,2012-04-14T07:48:51.031250;;;;;;;;;;;;;;;;
24;Party;Town;1.mp3,236.38,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\24;Party;Town;1.mp3,5.85,2012-04-14T07:21:51.546875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Tell;It;Like;It;Is.mp3,189.12,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\24;Tell;It;Like;It;Is.mp3,3.32,2012-04-14T07:43:42.781250;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Tetherball.mp3,319.48,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\24;Tetherball.mp3,7.75,2012-04-14T07:47:21.468750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
