What;Would;It;Be;Like;To;Stand;On;Jupiter's;Moon;Europa-.mp4,260.2,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\What;Would;It;Be;Like;To;Stand;On;Jupiter's;Moon;Europa-.mp4,35.91,2019-01-15T23:29:17.025515;;;;;;;;;;;;;;;
What;Would;It;Be;Like;To;Stand;On;Mars-.mp4,237.66,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\What;Would;It;Be;Like;To;Stand;On;Mars-.mp4,67.08,2019-01-15T23:29:17.145515;;;;;;;;;;;;;;;;;;;
What;Would;It;Be;Like;To;Stand;On;Venus-.mp4,211.26,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\What;Would;It;Be;Like;To;Stand;On;Venus-.mp4,26.12,2019-01-15T23:29:18.175517;;;;;;;;;;;;;;;;;;;
_IMG_0036.MOV,24.47,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;downloads\_IMG_0036.MOV,9.77,2013-09-17T00:11:30.964614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
me;singing;drunk.mp4,54.04,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\me;singing;drunk.mp4,14.93,2019-01-15T23:29:18.195517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMG_0989.MOV,5.7,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\2017-01-07\IMG_0989.MOV,13.06,2017-01-07T06:48:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMG_0992.MOV,138.78,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\2017-01-07\IMG_0992.MOV,253.16,2017-01-07T06:48:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMG_0993.MOV,10.3,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\2017-01-07\IMG_0993.MOV,23.19,2017-01-07T06:48:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMG_0996.MOV,9.91,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\2017-01-07\IMG_0996.MOV,7.8,2017-01-07T06:48:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMG_0997.MOV,16.78,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\2017-01-07\IMG_0997.MOV,22.73,2017-01-07T06:48:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMG_1012.MOV,10.24,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\2017-01-07\IMG_1012.MOV,18.63,2017-01-07T06:48:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMG_1013.MOV,5.5,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\2017-01-07\IMG_1013.MOV,9.69,2017-01-07T06:48:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMG_1014.MOV,28.85,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\2017-01-07\IMG_1014.MOV,40.63,2017-01-07T06:48:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIN_20151123_111726.MP4,668.99,D:\iomega;drive;archive\Presets\old;docs\New;fol\old;pics\Camera;Roll\WIN_20151123_111726.MP4,754.04,2015-11-23T11:28:36.849375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
